ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
0 8388372 3932 39853 0 -9997595 0 0 11943
0 8388373 3932 59982 0 -9997095 0 0 14293
0 8388370 3932 80111 0 -9996548 0 0 16633
0 8388372 3932 100239 0 -9995953 0 0 18983
0 8388367 3932 120368 0 -9995312 0 0 21323
0 8388371 3932 140498 4 -9994623 0 0 23667
0 8388372 3932 160627 4 -9993888 0 0 26007
0 8388368 3932 180756 4 -9993105 0 0 28352
0 8388372 3932 200886 4 -9992274 0 0 30697
0 8388372 3932 221015 0 -9991397 0 0 33037
0 8388372 3932 241142 4 -9990472 0 0 35387
0 8388371 3932 261272 4 -9989511 0 0 37677
0 8388371 3932 281401 4 -9988536 0 0 39803
0 8388370 3932 301530 4 -9987550 0 0 41746
0 8388369 3932 321662 4 -9986552 0 0 43518
0 8388374 3932 341789 0 -9985542 0 0 45114
0 8388373 3932 361919 0 -9984520 0 0 46539
0 8388374 3932 382048 4 -9983487 0 0 47781
0 8388371 3932 402175 4 -9982441 0 0 48850
0 8388373 3932 422305 4 -9981384 0 0 49744
0 8388374 3932 442434 4 -9980315 0 0 50459
0 8388375 3932 462561 4 -9979235 0 0 51051
0 8388370 3932 482693 4 -9978142 0 0 51636
0 8388374 3932 502822 0 -9977038 0 0 52223
0 8388373 3932 522950 0 -9975922 0 0 52810
0 8388371 3932 543077 0 -9974794 0 0 53396
0 8388377 3932 563206 0 -9973654 0 0 53983
0 8388371 3932 583337 0 -9972503 0 0 54569
0 8388370 3932 603466 0 -9971340 0 0 55149
0 8388373 3932 623595 0 -9970165 0 0 55736
0 8388373 3932 643722 0 -9968978 0 0 56322
0 8388374 3932 663851 0 -9967779 0 0 56913
0 8388372 3932 683982 0 -9966569 0 0 57495
0 8388372 3932 704111 0 -9965347 0 0 58081
0 8388375 3932 724240 0 -9964113 0 0 58667
0 8388371 3932 744367 0 -9962867 0 0 59253
0 8388375 3932 764498 0 -9961609 0 0 59839
0 8388374 3932 784627 0 -9960340 0 0 60425
0 8388368 3932 804755 0 -9959059 0 0 61011
0 8388369 3932 824884 0 -9957766 0 0 61598
0 8388373 3932 845014 0 -9956461 0 0 62183
0 8388373 3932 865141 0 -9955144 0 0 62770
0 8388371 3932 885270 0 -9953816 0 0 63357
0 8388374 3932 905400 0 -9952476 0 0 63943
0 8388370 3932 925529 0 -9951124 0 0 64529
0 8388372 3932 945657 0 -9949760 0 0 65115
0 8388372 3932 965786 0 -9948385 0 0 65697
0 8388374 3932 985916 0 -9946997 0 0 66287
0 8388377 3933 6045 0 -9945598 0 0 66874
0 8388371 3933 26173 0 -9944188 0 0 67455
0 8388373 3933 46302 0 -9942765 0 0 68042
0 8388373 3933 66431 16 -9941330 0 0 68627
0 8388372 3933 86560 16 -9939890 0 0 69184
0 8388375 3933 106689 16 -9938451 0 0 69676
0 8388375 3933 126819 16 -9937011 0 0 70113
0 8388372 3933 146950 16 -9935571 0 0 70489
0 8388372 3933 167079 16 -9934131 0 0 70812
0 8388374 3933 187208 16 -9932691 0 0 71071
0 8388375 3933 207335 16 -9931251 0 0 71275
0 8388375 3933 227466 16 -9929811 0 0 71423
0 8388374 3933 247593 16 -9928371 0 0 71508
0 8388364 3933 267722 16 -9926931 0 0 71533
0 8388370 3933 287853 16 -9925492 0 0 71528
0 8388371 3933 307980 16 -9924052 0 0 71533
0 8388372 3933 328109 16 -9922612 0 0 71534
0 8388370 3933 348238 16 -9921172 0 0 71534
0 8388372 3933 368367 16 -9919732 0 0 71534
0 8388371 3933 388496 16 -9918292 0 0 71534
0 8388372 3933 408625 16 -9916852 0 0 71534
0 8388372 3933 428754 16 -9915412 0 0 71534
0 8388367 3933 448883 16 -9913972 0 0 71534
0 8388370 3933 469012 16 -9912533 0 0 71529
0 8388371 3933 489141 16 -9911093 0 0 71534
0 8388373 3933 509271 16 -9909653 0 0 71533
0 8388369 3933 529400 16 -9908213 0 0 71533
0 8388371 3933 549528 16 -9906773 0 0 71534
0 8388373 3933 569657 16 -9905333 0 0 71534
0 8388376 3933 589786 16 -9903893 0 0 71534
0 8388367 3933 609915 16 -9902453 0 0 71534
0 8388371 3933 630043 16 -9901013 0 0 71534
0 8388372 3933 650172 16 -9899574 0 0 71529
0 8388372 3933 670301 16 -9898134 0 0 71534
0 8388368 3933 690430 16 -9896694 0 0 71534
0 8388370 3933 710559 16 -9895254 0 0 71534
0 8388369 3933 730688 16 -9893814 0 0 71534
0 8388371 3933 750817 16 -9892374 0 0 71534
0 8388370 3933 770946 16 -9890934 0 0 71534
0 8388371 3933 791075 16 -9889494 0 0 71534
0 8388369 3933 811204 16 -9888054 0 0 71534
0 8388371 3933 831333 16 -9886615 0 0 71529
0 8388368 3933 851462 16 -9885174 0 0 71539
0 8388364 3933 871591 16 -9883735 0 0 71534
0 8388372 3933 891720 16 -9882295 0 0 71534
0 8388372 3933 911849 16 -9880855 0 0 71534
0 8388370 3933 931978 16 -9879415 0 0 71534
0 8388374 3933 952109 16 -9877975 0 0 71533
0 8388369 3933 972238 16 -9876535 0 0 71533
0 8388368 3933 992367 16 -9875095 0 0 71533
0 8388367 3934 12496 16 -9873655 0 0 71533
0 8388366 3934 32625 16 -9872216 0 0 71533
0 8388371 3934 52752 16 -9870776 0 0 71529
0 8388372 3934 72883 16 -9869336 0 0 71533
0 8388371 3934 93012 16 -9867896 0 0 71533
0 8388369 3934 113139 16 -9866456 0 0 71534
0 8388374 3934 133270 16 -9865016 0 0 71533
0 8388366 3934 153397 16 -9863576 0 0 71534
0 8388370 3934 173526 16 -9862136 0 0 71534
0 8388369 3934 193655 16 -9860697 0 0 71529
0 8388373 3934 213784 16 -9859257 0 0 71529
0 8388373 3934 233913 16 -9857816 0 0 71539
0 8388376 3934 254042 16 -9856377 0 0 71534
0 8388369 3934 274171 16 -9854937 0 0 71534
0 8388373 3934 294300 16 -9853497 0 0 71534
0 8388372 3934 314429 16 -9852057 0 0 71534
0 8388373 3934 334558 16 -9850617 0 0 71534
0 8388372 3934 354687 16 -9849177 0 0 71534
0 8388372 3934 374816 16 -9847738 0 0 71529
0 8388370 3934 394946 16 -9846298 0 0 71533
0 8388369 3934 415074 16 -9844858 0 0 71534
0 8388372 3934 435203 16 -9843418 0 0 71529
0 8388373 3934 455332 16 -9841978 0 0 71534
0 8388370 3934 475461 16 -9840538 0 0 71534
0 8388377 3934 495590 16 -9839098 0 0 71534
0 8388372 3934 515719 16 -9837658 0 0 71534
0 8388368 3934 535848 16 -9836218 0 0 71534
0 8388372 3934 555977 16 -9834778 0 0 71534
0 8388373 3934 576106 16 -9833339 0 0 71534
0 8388372 3934 596235 16 -9831899 0 0 71534
0 8388374 3934 616364 16 -9830459 0 0 71534
0 8388369 3934 636493 16 -9829019 0 0 71534
0 8388372 3934 656622 16 -9827579 0 0 71534
0 8388369 3934 676751 16 -9826139 0 0 71534
0 8388370 3934 696880 16 -9824699 0 0 71534
0 8388370 3934 717011 16 -9823259 0 0 71533
0 8388373 3934 737138 16 -9821819 0 0 71534
0 8388374 3934 757267 16 -9820379 0 0 71534
0 8388372 3934 777398 16 -9818940 0 0 71533
0 8388373 3934 797527 16 -9817500 0 0 71533
0 8388370 3934 817656 16 -9816060 0 0 71533
0 8388371 3934 837783 16 -9814620 0 0 71534
0 8388371 3934 857915 16 -9813180 0 0 71533
0 8388372 3934 878044 16 -9811740 0 0 71533
0 8388371 3934 898170 16 -9810300 0 0 71534
0 8388370 3934 918299 16 -9808860 0 0 71534
0 8388372 3934 938431 16 -9807421 0 0 71528
0 8388372 3934 958557 16 -9805981 0 0 71529
0 8388369 3934 978687 16 -9804541 0 0 71534
0 8388370 3934 998816 16 -9803101 0 0 71534
0 8388367 3935 18945 16 -9801661 0 0 71534
0 8388368 3935 39073 16 -9800221 0 0 71534
0 8388371 3935 59202 16 -9798781 0 0 71534
0 8388375 3935 79332 16 -9797341 0 0 71534
0 8388371 3935 99461 16 -9795901 0 0 71533
0 8388368 3935 119590 16 -9794462 0 0 71528
0 8388372 3935 139719 16 -9793022 0 0 71534
0 8388369 3935 159848 16 -9791582 0 0 71533
0 8388374 3935 179977 16 -9790142 0 0 71534
0 8388371 3935 200106 16 -9788702 0 0 71534
0 8388373 3935 220235 16 -9787262 0 0 71534
0 8388373 3935 240364 16 -9785822 0 0 71533
0 8388370 3935 260493 16 -9784382 0 0 71533
0 8388374 3935 280623 16 -9782942 0 0 71533
0 8388372 3935 300752 16 -9781502 0 0 71533
0 8388374 3935 320879 16 -9780063 0 0 71534
0 8388376 3935 341010 16 -9778622 0 0 71538
0 8388371 3935 361137 16 -9777183 0 0 71534
0 8388371 3935 381266 16 -9775743 0 0 71534
0 8388369 3935 401395 16 -9774303 0 0 71534
0 8388373 3935 421524 16 -9772863 0 0 71534
0 8388372 3935 441653 16 -9771423 0 0 71534
0 8388368 3935 461782 16 -9769983 0 0 71534
0 8388369 3935 481911 16 -9768543 0 0 71534
0 8388368 3935 502040 16 -9767103 0 0 71534
0 8388373 3935 522169 16 -9765663 0 0 71539
0 8388372 3935 542298 16 -9764224 0 0 71529
0 8388367 3935 562427 16 -9762784 0 0 71534
0 8388368 3935 582559 16 -9761344 0 0 71533
0 8388372 3935 602688 16 -9759904 0 0 71533
0 8388367 3935 622816 16 -9758464 0 0 71533
0 8388374 3935 642943 16 -9757024 0 0 71534
0 8388376 3935 663074 16 -9755584 0 0 71533
0 8388371 3935 683203 16 -9754144 0 0 71533
0 8388372 3935 703330 16 -9752705 0 0 71529
0 8388373 3935 723461 16 -9751265 0 0 71528
0 8388375 3935 743591 16 -9749825 0 0 71533
0 8388371 3935 763719 16 -9748385 0 0 71533
0 8388367 3935 783848 16 -9746945 0 0 71534
0 8388373 3935 803977 16 -9745505 0 0 71534
0 8388369 3935 824106 16 -9744065 0 0 71534
0 8388374 3935 844235 16 -9742625 0 0 71533
0 8388374 3935 864364 16 -9741186 0 0 71529
0 8388368 3935 884493 16 -9739746 0 0 71529
0 8388368 3935 904622 16 -9738306 0 0 71533
0 8388367 3935 924751 16 -9736866 0 0 71534
0 8388363 3935 944880 16 -9735426 0 0 71534
0 8388370 3935 965010 16 -9733986 0 0 71533
0 8388367 3935 985138 16 -9732546 0 0 71534
0 8388370 3936 5267 16 -9731106 0 0 71534
0 8388371 3936 25396 16 -9729666 0 0 71533
0 8388370 3936 45523 16 -9728226 0 0 71534
0 8388370 3936 65652 16 -9726787 0 0 71534
0 8388372 3936 85781 16 -9725347 0 0 71534
0 8388368 3936 105910 16 -9723907 0 0 71534
0 8388367 3936 126039 16 -9722467 0 0 71534
0 8388373 3936 146168 16 -9721027 0 0 71534
0 8388372 3936 166298 16 -9719587 0 0 71534
0 8388370 3936 186427 16 -9718147 0 0 71534
0 8388371 3936 206556 16 -9716707 0 0 71534
0 8388367 3936 226685 16 -9715268 0 0 71529
0 8388372 3936 246815 16 -9713828 0 0 71528
0 8388369 3936 266942 16 -9712387 0 0 71539
0 8388371 3936 287071 16 -9710947 0 0 71539
0 8388370 3936 307200 16 -9709507 0 0 71539
0 8388371 3936 327329 16 -9708068 0 0 71534
0 8388368 3936 347458 16 -9706628 0 0 71534
0 8388371 3936 367588 16 -9705188 0 0 71534
0 8388368 3936 387719 16 -9703748 0 0 71533
0 8388369 3936 407848 16 -9702308 0 0 71533
0 8388368 3936 427977 16 -9700868 0 0 71538
0 8388370 3936 448104 16 -9699428 0 0 71539
0 8388371 3936 468237 16 -9697988 0 0 71532
0 8388369 3936 488363 16 -9696549 0 0 71528
0 8388368 3936 508492 16 -9695109 0 0 71528
0 8388373 3936 528621 16 -9693669 0 0 71533
0 8388370 3936 548750 16 -9692229 0 0 71533
0 8388364 3936 568878 16 -9690789 0 0 71534
0 8388374 3936 589009 16 -9689349 0 0 71534
0 8388373 3936 609136 16 -9687909 0 0 71534
0 8388374 3936 629265 16 -9686470 0 0 71529
0 8388371 3936 649394 16 -9685030 0 0 71529
0 8388366 3936 669523 16 -9683590 0 0 71530
0 8388369 3936 689652 16 -9682150 0 0 71534
0 8388370 3936 709781 16 -9680710 0 0 71534
0 8388370 3936 729911 16 -9679270 0 0 71534
0 8388369 3936 750040 16 -9677830 0 0 71534
0 8388372 3936 770169 16 -9676390 0 0 71533
0 8388369 3936 790298 16 -9674950 0 0 71534
0 8388360 3936 810426 16 -9673511 0 0 71529
0 8388373 3936 830555 16 -9672071 0 0 71534
0 8388369 3936 850684 16 -9670631 0 0 71534
0 8388370 3936 870812 16 -9669191 0 0 71534
0 8388370 3936 890941 16 -9667751 0 0 71534
0 8388370 3936 911070 16 -9666311 0 0 71534
0 8388368 3936 931199 16 -9664871 0 0 71534
0 8388367 3936 951328 16 -9663431 0 0 71534
0 8388370 3936 971458 16 -9661991 0 0 71534
0 8388368 3936 991587 16 -9660551 0 0 71534
0 8388369 3937 11716 16 -9659112 0 0 71533
0 8388371 3937 31845 16 -9657672 0 0 71533
0 8388369 3937 51974 16 -9656232 0 0 71533
0 8388367 3937 72103 16 -9654792 0 0 71533
0 8388365 3937 92232 16 -9653352 0 0 71533
0 8388372 3937 112361 16 -9651912 0 0 71533
