ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
0 8413877 814 145231 16 -1248515 0 0 7372
0 8413876 814 165358 16 -1248333 0 0 8142
0 8413876 814 185489 16 -1248151 0 0 8669
0 8413877 814 205618 16 -1247969 0 0 8967
0 8413895 814 225745 16 -1247787 0 0 9037
0 8413956 814 245875 16 -1247606 0 0 9032
0 8414095 814 266004 16 -1247424 0 0 9032
0 8414304 814 286131 16 -1247242 0 0 9032
0 8414629 814 306262 16 -1247060 0 0 9032
0 8415034 814 326391 16 -1246878 0 0 9032
0 8415541 814 346519 16 -1246696 0 0 9037
0 8416081 814 366648 16 -1246515 0 0 9032
0 8416559 814 386777 16 -1246333 0 0 9032
0 8416964 814 406906 16 -1246151 0 0 9032
0 8417228 814 427035 16 -1245969 0 0 9032
0 8417304 814 447163 16 -1245787 0 0 9037
0 8417237 814 467294 16 -1245605 0 0 9037
0 8417049 814 487421 16 -1245424 0 0 9032
0 8416788 814 507552 16 -1245242 0 0 9032
0 8416459 814 527681 16 -1245060 0 0 9032
0 8416037 814 547808 16 -1244878 0 0 9032
0 8415564 814 567939 16 -1244696 0 0 9037
0 8415068 814 588067 16 -1244514 0 0 9037
0 8414665 814 608197 16 -1244333 0 0 9032
0 8414340 814 628326 16 -1244151 0 0 9032
0 8414082 814 648455 16 -1243969 0 0 9032
0 8413926 814 668584 16 -1243787 0 0 9032
0 8413882 814 688713 16 -1243605 0 0 9037
0 8413893 814 708841 16 -1243423 0 0 9037
0 8413971 814 728970 16 -1243242 0 0 9032
0 8414094 814 749099 16 -1243060 0 0 9032
0 8414240 814 769229 16 -1242878 0 0 9032
0 8414354 814 789357 16 -1242696 0 0 9032
0 8414465 814 809486 16 -1242514 0 0 9037
0 8414623 814 829615 16 -1242332 0 0 9037
0 8414795 814 849744 16 -1242151 0 0 9032
0 8415092 814 869875 16 -1241969 0 0 9032
0 8415453 814 890006 16 -1241787 0 0 9032
0 8415761 814 910133 16 -1241605 0 0 9032
0 8416075 814 930261 16 -1241423 0 0 9037
0 8416333 814 950389 16 -1241242 0 0 9032
0 8416501 814 970519 16 -1241060 0 0 9032
0 8416638 814 990648 16 -1240878 0 0 9032
0 8416722 815 10775 16 -1240696 0 0 9032
0 8416772 815 30906 16 -1240514 0 0 9032
0 8416843 815 51037 16 -1240332 0 0 9037
0 8416882 815 71164 16 -1240151 0 0 9032
0 8416915 815 91292 16 -1239969 0 0 9032
0 8416933 815 111421 16 -1239787 0 0 9032
0 8417021 815 131550 16 -1239605 0 0 9032
0 8417100 815 151680 16 -1239423 0 0 9037
0 8417192 815 171808 16 -1239241 0 0 9037
0 8417239 815 191937 16 -1239060 0 0 9032
0 8417286 815 212066 16 -1238878 0 0 9032
0 8417308 815 232195 16 -1238696 0 0 9032
0 8417312 815 252323 16 -1238514 0 0 9032
0 8417296 815 272452 16 -1238332 0 0 9037
0 8417260 815 292583 16 -1238150 0 0 9037
0 8417211 815 312712 16 -1237969 0 0 9032
0 8417143 815 332839 16 -1237787 0 0 9032
0 8417082 815 352968 16 -1237605 0 0 9032
0 8416988 815 373099 16 -1237423 0 0 9032
0 8416828 815 393227 16 -1237241 0 0 9037
0 8416729 815 413357 16 -1237059 0 0 9037
0 8416621 815 433487 16 -1236878 0 0 9032
0 8416522 815 453616 16 -1236696 0 0 9032
0 8416454 815 473744 16 -1236514 0 0 9032
0 8416393 815 493873 16 -1236332 0 0 9032
0 8416325 815 514003 16 -1236150 0 0 9037
0 8416261 815 534131 16 -1235968 0 0 9037
0 8416175 815 554259 16 -1235787 0 0 9032
0 8416117 815 574388 16 -1235605 0 0 9032
0 8416088 815 594517 16 -1235423 0 0 9032
0 8416005 815 614646 16 -1235241 0 0 9032
0 8415907 815 634775 16 -1235059 0 0 9037
0 8415811 815 654903 16 -1234877 0 0 9037
0 8415771 815 675032 16 -1234696 0 0 9032
0 8415805 815 695165 16 -1234514 0 0 9032
0 8415772 815 715292 16 -1234332 0 0 9032
0 8415698 815 735421 16 -1234150 0 0 9032
0 8415671 815 755548 16 -1233968 0 0 9037
0 8415713 815 775679 16 -1233787 0 0 9032
0 8415703 815 795810 16 -1233605 0 0 9032
0 8415736 815 815935 16 -1233423 0 0 9032
0 8415720 815 836066 16 -1233241 0 0 9032
0 8415757 815 856197 16 -1233059 0 0 9032
0 8415856 815 876324 16 -1232877 0 0 9037
0 8415907 815 896453 16 -1232696 0 0 9032
0 8415934 815 916582 16 -1232514 0 0 9032
0 8415949 815 936711 16 -1232332 0 0 9032
0 8416009 815 956840 16 -1232150 0 0 9032
0 8416082 815 976968 16 -1231968 0 0 9037
0 8416063 815 997097 16 -1231786 0 0 9037
0 8415995 816 17226 16 -1231605 0 0 9032
0 8415971 816 37355 16 -1231423 0 0 9032
0 8416071 816 57484 16 -1231241 0 0 9032
0 8416157 816 77613 16 -1231059 0 0 9032
0 8416246 816 97742 16 -1230877 0 0 9037
0 8416232 816 117871 16 -1230695 0 0 9037
0 8416266 816 138002 16 -1230514 0 0 9032
0 8416275 816 158129 16 -1230332 0 0 9032
0 8416256 816 178257 16 -1230150 0 0 9032
0 8416192 816 198387 16 -1229968 0 0 9032
0 8416152 816 218517 16 -1229786 0 0 9037
0 8416173 816 238645 16 -1229604 0 0 9037
0 8416191 816 258774 16 -1229423 0 0 9032
0 8416153 816 278903 16 -1229241 0 0 9032
0 8416093 816 299032 16 -1229059 0 0 9032
0 8416091 816 319161 16 -1228877 0 0 9032
0 8416088 816 339290 16 -1228695 0 0 9037
0 8416060 816 359419 16 -1228513 0 0 9037
0 8416003 816 379547 16 -1228332 0 0 9032
0 8415922 816 399676 16 -1228150 0 0 9032
0 8415841 816 419805 16 -1227968 0 0 9032
0 8415808 816 439934 16 -1227786 0 0 9032
0 8415788 816 460065 16 -1227604 0 0 9037
0 8415801 816 480194 16 -1227422 0 0 9037
0 8415798 816 500325 16 -1227241 0 0 9032
0 8415797 816 520454 16 -1227059 0 0 9032
0 8415804 816 540583 16 -1226877 0 0 9032
0 8415753 816 560710 16 -1226695 0 0 9032
0 8415743 816 580841 16 -1226513 0 0 9037
0 8415759 816 600966 16 -1226331 0 0 9037
0 8415775 816 621097 16 -1226150 0 0 9032
0 8415855 816 641228 16 -1225968 0 0 9032
0 8415863 816 661353 16 -1225786 0 0 9032
0 8415905 816 681484 16 -1225604 0 0 9032
0 8415941 816 701611 16 -1225422 0 0 9037
0 8416014 816 721740 16 -1225241 0 0 9032
0 8416054 816 741869 16 -1225059 0 0 9032
0 8416258 816 761998 16 -1224877 0 0 9032
