ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
0 8406224 400 832326 16 -1248515 0 0 7372
0 8406277 400 852457 16 -1248333 0 0 8142
0 8406217 400 872584 16 -1248151 0 0 8669
0 8406094 400 892713 16 -1247969 0 0 8967
0 8406000 400 912845 16 -1247787 0 0 9037
0 8405885 400 932972 16 -1247606 0 0 9032
0 8405741 400 953100 16 -1247424 0 0 9032
0 8405601 400 973230 16 -1247242 0 0 9032
0 8405490 400 993358 16 -1247060 0 0 9032
0 8405470 401 13487 16 -1246878 0 0 9037
0 8405508 401 33616 16 -1246696 0 0 9037
0 8405654 401 53744 16 -1246515 0 0 9032
0 8405897 401 73874 16 -1246333 0 0 9032
0 8406263 401 94004 16 -1246151 0 0 9032
0 8406644 401 114131 16 -1245969 0 0 9032
0 8407001 401 134260 16 -1245787 0 0 9037
0 8407329 401 154389 16 -1245606 0 0 9032
0 8407610 401 174518 16 -1245424 0 0 9032
0 8407815 401 194647 16 -1245242 0 0 9032
0 8407955 401 214776 16 -1245060 0 0 9032
0 8408037 401 234905 16 -1244878 0 0 9032
0 8408045 401 255034 16 -1244696 0 0 9037
0 8407962 401 275163 16 -1244515 0 0 9032
0 8407794 401 295292 16 -1244333 0 0 9032
0 8407587 401 315421 16 -1244151 0 0 9032
0 8407315 401 335551 16 -1243969 0 0 9032
0 8407031 401 355680 16 -1243787 0 0 9037
0 8406819 401 375809 16 -1243605 0 0 9037
0 8406556 401 395938 16 -1243424 0 0 9032
0 8406341 401 416066 16 -1243242 0 0 9032
0 8406170 401 436194 16 -1243060 0 0 9032
0 8406029 401 456323 16 -1242878 0 0 9032
0 8405932 401 476452 16 -1242696 0 0 9037
0 8405851 401 496581 16 -1242514 0 0 9037
0 8405744 401 516710 16 -1242333 0 0 9032
0 8405669 401 536839 16 -1242151 0 0 9032
0 8405590 401 556968 16 -1241969 0 0 9032
0 8405513 401 577099 16 -1241787 0 0 9032
0 8405474 401 597230 16 -1241605 0 0 9037
0 8405474 401 617359 16 -1241423 0 0 9037
0 8405492 401 637486 16 -1241242 0 0 9032
0 8405529 401 657617 16 -1241060 0 0 9032
0 8405563 401 677744 16 -1240878 0 0 9032
0 8405589 401 697873 16 -1240696 0 0 9032
0 8405607 401 718006 16 -1240514 0 0 9036
